LAMMPS data file via write_data.

510 atoms
2 atom types

0. 19.45 xlo xhi
0. 19.45 ylo yhi
0. 19.45 zlo zhi

Masses

1 106.4
2 1.0079

Atoms # atomic

52 1 7.78 9.725 1.945
151 1 9.725 7.78 5.835
152 1 7.78 9.725 5.835
71 1 9.725 11.67 1.945
72 1 7.78 13.615 1.945
171 1 9.725 11.67 5.835
172 1 7.78 13.615 5.835
91 1 9.725 15.56 1.945
92 1 7.78 17.505 1.945
191 1 9.725 15.56 5.835
192 1 7.78 17.505 5.835
15 1 13.615 0. 1.945
16 1 11.67 1.945 1.945
115 1 13.615 0. 5.835
116 1 11.67 1.945 5.835
35 1 13.615 3.89 1.945
36 1 11.67 5.835 1.945
135 1 13.615 3.89 5.835
136 1 11.67 5.835 5.835
55 1 13.615 7.78 1.945
56 1 11.67 9.725 1.945
155 1 13.615 7.78 5.835
156 1 11.67 9.725 5.835
75 1 13.615 11.67 1.945
76 1 11.67 13.615 1.945
175 1 13.615 11.67 5.835
176 1 11.67 13.615 5.835
95 1 13.615 15.56 1.945
96 1 11.67 17.505 1.945
195 1 13.615 15.56 5.835
196 1 11.67 17.505 5.835
19 1 17.505 0. 1.945
20 1 15.56 1.945 1.945
119 1 17.505 0. 5.835
120 1 15.56 1.945 5.835
39 1 17.505 3.89 1.945
40 1 15.56 5.835 1.945
139 1 17.505 3.89 5.835
140 1 15.56 5.835 5.835
59 1 17.505 7.78 1.945
60 1 15.56 9.725 1.945
159 1 17.505 7.78 5.835
160 1 15.56 9.725 5.835
79 1 17.505 11.67 1.945
80 1 15.56 13.615 1.945
179 1 17.505 11.67 5.835
180 1 15.56 13.615 5.835
99 1 17.505 15.56 1.945
100 1 15.56 17.505 1.945
199 1 17.505 15.56 5.835
200 1 15.56 17.505 5.835
301 1 0. 0. 11.67
302 1 1.945 1.945 11.67
401 1 0. 0. 15.56
402 1 1.945 1.945 15.56
321 1 0. 3.89 11.67
322 1 1.945 5.835 11.67
421 1 0. 3.89 15.56
422 1 1.945 5.835 15.56
341 1 0. 7.78 11.67
342 1 1.945 9.725 11.67
441 1 0. 7.78 15.56
442 1 1.945 9.725 15.56
361 1 0. 11.67 11.67
362 1 1.945 13.615 11.67
461 1 0. 11.67 15.56
462 1 1.945 13.615 15.56
381 1 0. 15.56 11.67
382 1 1.945 17.505 11.67
481 1 0. 15.56 15.56
482 1 1.945 17.505 15.56
305 1 3.89 0. 11.67
306 1 5.835 1.945 11.67
405 1 3.89 0. 15.56
406 1 5.835 1.945 15.56
325 1 3.89 3.89 11.67
326 1 5.835 5.835 11.67
425 1 3.89 3.89 15.56
426 1 5.835 5.835 15.56
345 1 3.89 7.78 11.67
346 1 5.835 9.725 11.67
445 1 3.89 7.78 15.56
446 1 5.835 9.725 15.56
365 1 3.89 11.67 11.67
366 1 5.835 13.615 11.67
465 1 3.89 11.67 15.56
466 1 5.835 13.615 15.56
385 1 3.89 15.56 11.67
386 1 5.835 17.505 11.67
485 1 3.89 15.56 15.56
486 1 5.835 17.505 15.56
309 1 7.78 0. 11.67
310 1 9.725 1.945 11.67
409 1 7.78 0. 15.56
410 1 9.725 1.945 15.56
329 1 7.78 3.89 11.67
330 1 9.725 5.835 11.67
429 1 7.78 3.89 15.56
430 1 9.725 5.835 15.56
349 1 7.78 7.78 11.67
350 1 9.725 9.725 11.67
449 1 7.78 7.78 15.56
450 1 9.725 9.725 15.56
369 1 7.78 11.67 11.67
370 1 9.725 13.615 11.67
469 1 7.78 11.67 15.56
470 1 9.725 13.615 15.56
389 1 7.78 15.56 11.67
390 1 9.725 17.505 11.67
489 1 7.78 15.56 15.56
490 1 9.725 17.505 15.56
313 1 11.67 0. 11.67
314 1 13.615 1.945 11.67
413 1 11.67 0. 15.56
414 1 13.615 1.945 15.56
333 1 11.67 3.89 11.67
334 1 13.615 5.835 11.67
433 1 11.67 3.89 15.56
434 1 13.615 5.835 15.56
353 1 11.67 7.78 11.67
354 1 13.615 9.725 11.67
453 1 11.67 7.78 15.56
454 1 13.615 9.725 15.56
373 1 11.67 11.67 11.67
374 1 13.615 13.615 11.67
473 1 11.67 11.67 15.56
474 1 13.615 13.615 15.56
393 1 11.67 15.56 11.67
394 1 13.615 17.505 11.67
493 1 11.67 15.56 15.56
494 1 13.615 17.505 15.56
317 1 15.56 0. 11.67
318 1 17.505 1.945 11.67
417 1 15.56 0. 15.56
418 1 17.505 1.945 15.56
337 1 15.56 3.89 11.67
338 1 17.505 5.835 11.67
437 1 15.56 3.89 15.56
438 1 17.505 5.835 15.56
357 1 15.56 7.78 11.67
358 1 17.505 9.725 11.67
457 1 15.56 7.78 15.56
458 1 17.505 9.725 15.56
377 1 15.56 11.67 11.67
378 1 17.505 13.615 11.67
477 1 15.56 11.67 15.56
478 1 17.505 13.615 15.56
397 1 15.56 15.56 11.67
398 1 17.505 17.505 11.67
497 1 15.56 15.56 15.56
498 1 17.505 17.505 15.56
203 1 1.945 0. 9.725
204 1 0. 1.945 9.725
303 1 1.945 0. 13.615
304 1 0. 1.945 13.615
403 1 1.945 0. 17.505
404 1 0. 1.945 17.505
223 1 1.945 3.89 9.725
224 1 0. 5.835 9.725
323 1 1.945 3.89 13.615
324 1 0. 5.835 13.615
423 1 1.945 3.89 17.505
424 1 0. 5.835 17.505
243 1 1.945 7.78 9.725
244 1 0. 9.725 9.725
343 1 1.945 7.78 13.615
344 1 0. 9.725 13.615
443 1 1.945 7.78 17.505
444 1 0. 9.725 17.505
263 1 1.945 11.67 9.725
264 1 0. 13.615 9.725
363 1 1.945 11.67 13.615
364 1 0. 13.615 13.615
463 1 1.945 11.67 17.505
464 1 0. 13.615 17.505
283 1 1.945 15.56 9.725
284 1 0. 17.505 9.725
383 1 1.945 15.56 13.615
